110653,University of California-Irvine
201645,Case Western Reserve University
198419,Duke University
234979,Columbia Basin College
238616,Concordia University-Wisconsin
461856,Southern California Health Institute
139755,Georgia Institute of Technology-Main Campus
476610,Barber & Beauty Institute of New York
166805,Massachusetts School of Barbering
487092,Emory University-Oxford College
132408,The Baptist College of Florida
110644,University of California-Davis
154855,Central Christian College of Kansas
151652,Empire Beauty School-Indianapolis
454227,Chamberlain University-Illinois
209542,Oregon State University
194824,Rensselaer Polytechnic Institute
153311,Eastern Iowa Community College District
139250,College of Coastal Georgia
126775,Colorado School of Mines
186371,Rutgers University-Camden
224776,Miami International University of Art & Design-Art Institute Dallas
160755,Tulane University of Louisiana
208318,Central Oregon Community College
179867,Washington University in St Louis
233921,Virginia Polytechnic Institute and State University
128106,Colorado State University-Pueblo
482431,DeVry University-California
155399,Kansas State University
195003,Rochester Institute of Technology
103963,Platt College-Arizona Automotive Institute Arizona
228246,Southern Methodist University
196097,Stony Brook University
126614,University of Colorado Boulder
168148,Tufts University
188687,American Academy McAllister Institute of Funeral Service
181145,CHI Health School of Radiologic Technology
110635,University of California-Berkeley
204714,Ohio State Beauty Academy
228644,The University of Texas Health Science Center at San Antonio
179308,Saint Louis Community College
148511,Rush University
176372,University of Southern Mississippi
135364,Luther Rice College & Seminary
199847,Wake Forest University
211440,Carnegie Mellon University
139214,Brown College of Court Reporting
215381,Pittsburgh Institute of Aeronautics
131496,Georgetown University
188030,New Mexico State University-Main Campus
165015,Brandeis University
207290,Northeastern Oklahoma A&M College
171100,Michigan State University
230764,University of Utah
201061,Art Academy of Cincinnati
153162,Cornell College
211024,Clarks Summit University
181783,Wayne State College
102614,University of Alaska Fairbanks
243744,Stanford University
178411,Missouri University of Science and Technology
173559,Minnesota State Community and Technical College
106458,Arkansas State University-Main Campus
432524,Delaware College of Art and Design
221625,Tennessee College of Applied Technology-Knoxville
145600,University of Illinois at Chicago
486947,Chamberlain University-Michigan
186131,Princeton University
166027,Harvard University
182670,Dartmouth College
180249,Great Falls College Montana State University
206932,Central Oklahoma College
428259,Ottawa University-Milwaukee
228769,The University of Texas at Arlington
213525,Lehigh Carbon Community College
233338,Richard Bland College
151102,Purdue University Fort Wayne
163268,University of Maryland-Baltimore County
145497,Hebrew Theological College
214795,Pennsylvania State University-Penn State Mont Alto
180106,Carroll College
221999,Vanderbilt University
110705,University of California-Santa Barbara
110671,University of California-Riverside
145637,University of Illinois at Urbana-Champaign
164872,Boston Architectural College
228778,The University of Texas at Austin
185828,New Jersey Institute of Technology
199120,University of North Carolina at Chapel Hill
110592,California State University-Los Angeles
232186,George Mason University
132693,Eastern Florida State College
454236,Chamberlain University-Ohio
212054,Drexel University
187532,Central New Mexico Community College
476814,Florida Institute of Recording Sound and Technology
417868,Clinton Essex Warren Washington BOCES
448886,Arizona State University-Downtown Phoenix
133951,Florida International University
110714,University of California-Santa Cruz
139621,East Georgia State College
162779,Howard Community College
100830,Auburn University at Montgomery
131469,George Washington University
171128,Michigan Technological University
218335,Medical University of South Carolina
162928,Johns Hopkins University
483036,Texas A&M University-Central Texas
181464,University of Nebraska-Lincoln
181428,University of Nebraska Medical Center
189574,Bryant & Stratton College-Syracuse
156408,Centre College
206932,Central Oklahoma College
240514,Central Wyoming College
142522,Brigham Young University-Idaho
240444,University of Wisconsin-Madison
122409,San Diego State University
195003,Rochester Institute of Technology
219347,South Dakota School of Mines and Technology
114390,FIDM-Fashion Institute of Design & Merchandising-San Francisco
207254,Spartan College of Aeronautics and Technology
126748,Colorado Northwestern Community College
110583,California State University-Long Beach
145725,Illinois Institute of Technology
159391,Louisiana State University and Agricultural & Mechanical College
199193,North Carolina State University at Raleigh
224776,Miami International University of Art & Design-Art Institute Dallas
230861,Community College of Vermont
128771,Central Connecticut State University
153603,Iowa State University
130794,Yale University
126614,University of Colorado Boulder
176965,University of Central Missouri
199148,University of North Carolina at Greensboro
157058,Kentucky State University
166683,Massachusetts Institute of Technology
209807,Portland State University
134079,Florida Southern College
163578,Notre Dame of Maryland University
458496,The Art Institute of Virginia Beach
164872,Boston Architectural College
237011,Western Washington University
110404,California Institute of Technology
483036,Texas A&M University-Central Texas
218335,Medical University of South Carolina
217882,Clemson University
171571,Oakland University
228796,The University of Texas at El Paso
445133,American InterContinental University-Houston
216339,Temple University
484905,University of North Texas at Dallas
163286,University of Maryland-College Park
232982,Old Dominion University
262466,Rolf Institute of Structural Integration
375540,Toledo Academy of Beauty Culture-East
209490,Oregon Health & Science University
